Smp_000020.1 GO:0004563,GO:0007155,GO:0008152
Smp_000030.1 GO:0000502,GO:0005829,GO:0030234,GO:0042176
Smp_000030.2 GO:0000502,GO:0005829,GO:0030234,GO:0042176
Smp_000030.3 GO:0005829,GO:0043234
Smp_000040.1 GO:0003777,GO:0005871,GO:0005874
Smp_000050.1 GO:0005262,GO:0005509,GO:0006816,GO:0016020,GO:0016021
Smp_000070.1 GO:0003841,GO:0008152,GO:0008654,GO:0016020,GO:0016021
Smp_000075.1 GO:0003700,GO:0005634,GO:0006350,GO:0006355,GO:0007275,GO:0043565
Smp_000080.1 GO:0000139,GO:0005484,GO:0005794,GO:0015031,GO:0016021,GO:0016192
Smp_000090.1 GO:0005737
Smp_000100.1 GO:0003779,GO:0005509,GO:0005737,GO:0005856
Smp_000110.1 GO:0003746,GO:0003924,GO:0005525,GO:0005737,GO:0006412
Smp_000120.1 GO:0003677,GO:0003723,GO:0003964,GO:0004190,GO:0004519,GO:0006278,GO:0006508,GO:0015074,GO:0016779,GO:0032196
Smp_000130.1 GO:0004091,GO:0005783,GO:0008152,GO:0016020
Smp_000130.2 GO:0004091,GO:0005783,GO:0008152,GO:0016020
Smp_000130.3 GO:0004091,GO:0005783,GO:0008152,GO:0016020
Smp_000140.1 GO:0005737,GO:0046872
Smp_000140.2 GO:0005524,GO:0005737,GO:0046872
Smp_000150.1 GO:0003677,GO:0005622,GO:0005634,GO:0006350,GO:0006355,GO:0008270,GO:0016568
Smp_000160.1 GO:0016020,GO:0016021
Smp_000170.1 GO:0005509
Smp_000180.1 GO:0005509,GO:0016020
Smp_000190.1 GO:0004316,GO:0006633,GO:0051287
Smp_000200.1 GO:0005524,GO:0005737
Smp_000220.1 GO:0005634
Smp_000230.1 GO:0003677,GO:0005622,GO:0005634,GO:0006350,GO:0006355,GO:0008270
Smp_000240.1 GO:0000166,GO:0003723,GO:0005622,GO:0005634,GO:0005737,GO:0006397,GO:0008270
Smp_000240.2 GO:0000166,GO:0003723,GO:0005622,GO:0005634,GO:0006397,GO:0006417,GO:0008270,GO:0051028
Smp_000250.1 GO:0005737,GO:0016740
