time,cell,condition,name,replicate,index,folder
D6,GT,D6_GT,D6_GT_R1,1,1,19913#1_kallisto
D6,GT,D6_GT,D6_GT_R2,2,2,19913#2_kallisto
D6,GT,D6_GT,D6_GT_R3,3,3,19913#3_kallisto
D6,HUVEC,D6_HUVEC,D6_HUVEC_R1,1,4,19913#4_kallisto
D6,HUVEC,D6_HUVEC,D6_HUVEC_R2,2,5,19913#5_kallisto
D6,HUVEC,D6_HUVEC,D6_HUVEC_R3,3,6,19913#6_kallisto
D6,HEPG2,D6_HEPG2,D6_HEPG2_R2,2,7,19913#7_kallisto
D6,HEPG2,D6_HEPG2,D6_HEPG2_R3,3,8,19913#8_kallisto
NON,GT,NON_GT,NON_GT_R1,1,9,19913#9_kallisto
NON,GT,NON_GT,NON_GT_R2,2,10,19913#10_kallisto
NON,GT,NON_GT,NON_GT_R3,3,11,19913#11_kallisto
NON,HUVEC,NON_HUVEC,NON_HUVEC_R1,1,12,19913#12_kallisto
NON,HUVEC,NON_HUVEC,NON_HUVEC_R2,2,13,19913#13_kallisto
NON,HUVEC,NON_HUVEC,NON_HUVEC_R3,3,14,19913#14_kallisto
NON,HEPG2,NON_HEPG2,NON_HEPG2_R1,1,15,19913#15_kallisto
NON,HEPG2,NON_HEPG2,NON_HEPG2_R2,2,16,19913#16_kallisto
NON,HEPG2,NON_HEPG2,NON_HEPG2_R3,3,17,19913#17_kallisto
D10,GT,D10_GT,D10_GT_R1,1,18,19913#18_kallisto
D10,GT,D10_GT,D10_GT_R2,2,19,19913#19_kallisto
D10,GT,D10_GT,D10_GT_R3,3,20,19913#20_kallisto
D10,HUVEC,D10_HUVEC,D10_HUVEC_R1,1,21,19913#21_kallisto
D10,HUVEC,D10_HUVEC,D10_HUVEC_R2,2,22,19913#22_kallisto
D10,HUVEC,D10_HUVEC,D10_HUVEC_R3,3,23,19913#23_kallisto
D10,HEPG2,D10_HEPG2,D10_HEPG2_R1,1,24,19913#24_kallisto
D10,HEPG2,D10_HEPG2,D10_HEPG2_R2,2,25,19913#25_kallisto
D10,HEPG2,D10_HEPG2,D10_HEPG2_R3,3,26,19913#26_kallisto
D17,GT,D17_GT,D17_GT_R1,1,27,19913#27_kallisto
D17,GT,D17_GT,D17_GT_R2,2,28,19913#28_kallisto
D17,GT,D17_GT,D17_GT_R3,3,29,19913#29_kallisto
D17,HUVEC,D17_HUVEC,D17_HUVEC_R1,1,30,19913#30_kallisto
D17,HUVEC,D17_HUVEC,D17_HUVEC_R2,2,31,19913#31_kallisto
D17,HUVEC,D17_HUVEC,D17_HUVEC_R3,3,32,19913#32_kallisto
D17,HEPG2,D17_HEPG2,D17_HEPG2_R1,1,33,19913#33_kallisto
D17,HEPG2,D17_HEPG2,D17_HEPG2_R3,3,34,19913#34_kallisto
