Genome project	Gene stable ID	Transcript stable ID	Human gene stable ID	Gene name
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.1	ENSG00000278139	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.1	ENSG00000117461	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.1	ENSG00000145675	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.1	ENSG00000105647	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.1	ENSG00000268173	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.2	ENSG00000278139	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.2	ENSG00000117461	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.2	ENSG00000145675	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.2	ENSG00000105647	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000001	Y110A7A.10.2	ENSG00000268173	aap-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1a.1	ENSG00000097007	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1a.1	ENSG00000143322	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1b.1	ENSG00000097007	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1b.1	ENSG00000143322	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1c.1	ENSG00000097007	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000018	M79.1c.1	ENSG00000143322	abl-1
caenorhabditis_elegans_prjna13758	WBGene00000019	C24F3.5a.1		abt-1
caenorhabditis_elegans_prjna13758	WBGene00000024	AC3.3.1		abu-1
caenorhabditis_elegans_prjna13758	WBGene00000025	F19G12.7.1		abu-2
caenorhabditis_elegans_prjna13758	WBGene00000027	Y5H2A.3.1		abu-4
caenorhabditis_elegans_prjna13758	WBGene00000028	Y105C5A.4.1		abu-5
caenorhabditis_elegans_prjna13758	WBGene00000029	C03A7.7.1		abu-6
caenorhabditis_elegans_prjna13758	WBGene00000030	C03A7.8.1		abu-7
caenorhabditis_elegans_prjna13758	WBGene00000031	C03A7.14.1		abu-8
caenorhabditis_elegans_prjna13758	WBGene00000031	C03A7.14.2		abu-8
caenorhabditis_elegans_prjna13758	WBGene00000032	R09F10.2.1		abu-9
caenorhabditis_elegans_prjna13758	WBGene00000033	F35A5.3.1		abu-10
caenorhabditis_elegans_prjna13758	WBGene00000034	T01D1.6.1		abu-11
caenorhabditis_elegans_prjna13758	WBGene00000035	W09B12.1.1	ENSG00000114200	ace-1
caenorhabditis_elegans_prjna13758	WBGene00000035	W09B12.1.1	ENSG00000087085	ace-1
caenorhabditis_elegans_prjna13758	WBGene00000035	W09B12.1.2	ENSG00000114200	ace-1
caenorhabditis_elegans_prjna13758	WBGene00000035	W09B12.1.2	ENSG00000087085	ace-1
caenorhabditis_elegans_prjna13758	WBGene00000036	Y44E3A.2.1		ace-2
caenorhabditis_elegans_prjna13758	WBGene00000037	Y48B6A.8.1		ace-3
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000120903	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000147434	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000160716	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000117971	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000147432	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000101204	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000138435	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000080644	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000042	K11G12.2.1	ENSG00000169684	acr-2
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000120903	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000147434	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000160716	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000117971	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000147432	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000101204	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000138435	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000080644	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000043	K11G12.7.1	ENSG00000169684	acr-3
caenorhabditis_elegans_prjna13758	WBGene00000044	K03F8.2.1	ENSG00000135902	acr-5
caenorhabditis_elegans_prjna13758	WBGene00000044	K03F8.2.1	ENSG00000196811	acr-5
caenorhabditis_elegans_prjna13758	WBGene00000044	K03F8.2.1	ENSG00000170175	acr-5
caenorhabditis_elegans_prjna13758	WBGene00000044	K03F8.2.1	ENSG00000108556	acr-5
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000120903	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000147434	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000160716	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000117971	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000147432	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000101204	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000138435	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000080644	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000045	ZK973.5.1	ENSG00000169684	acr-6
caenorhabditis_elegans_prjna13758	WBGene00000046	T09A5.3.1	ENSG00000175344	acr-7
caenorhabditis_elegans_prjna13758	WBGene00000046	T09A5.3.1	ENSG00000166664	acr-7
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000120903	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000147434	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000160716	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000117971	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000147432	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000101204	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000138435	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000080644	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.1	ENSG00000169684	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000120903	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000147434	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000160716	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000117971	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000147432	acr-8
caenorhabditis_elegans_prjna13758	WBGene00000047	ZC504.2.2	ENSG00000101204	acr-8
