      gene      | go_accession |                                                                                           go_term                                                                                           
----------------+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Smp_024380.1   | GO:0005634   | nucleus
 Smp_024380.1   | GO:0005737   | cytoplasm
 Smp_024390.3   | GO:0008233   | peptidase activity
 Smp_024390.3   | GO:0016021   | integral component of membrane
 Smp_024390.3   | GO:0016020   | membrane
 Smp_060210.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_060210.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_090220.1   | GO:0031402   | sodium ion binding
 Smp_090220.1   | GO:0006814   | sodium ion transport
 Smp_090220.1   | GO:0016021   | integral component of membrane
 Smp_090220.1   | GO:0016020   | membrane
 Smp_142740.1   | GO:0000166   | nucleotide binding
 Smp_142740.1   | GO:0005737   | cytoplasm
 Smp_142700.1   | GO:0016021   | integral component of membrane
 Smp_142700.1   | GO:0005886   | plasma membrane
 Smp_142700.1   | GO:0045202   | synapse
 Smp_038980.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_038980.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_038980.1   | GO:0005634   | nucleus
 Smp_176530.1   | GO:0016021   | integral component of membrane
 Smp_176530.1   | GO:0016020   | membrane
 Smp_176570.1   | GO:0005524   | ATP binding
 Smp_176570.1   | GO:0005737   | cytoplasm
 Smp_096640.1   | GO:0005524   | ATP binding
 Smp_096640.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_096640.1   | GO:0006468   | protein phosphorylation
 Smp_096640.1   | GO:0005634   | nucleus
 Smp_096640.1   | GO:0005737   | cytoplasm
 Smp_167810.1   | GO:0008233   | peptidase activity
 Smp_167810.1   | GO:0008234   | cysteine-type peptidase activity
 Smp_167810.1   | GO:0006508   | proteolysis
 Smp_167810.1   | GO:0005634   | nucleus
 Smp_167810.1   | GO:0005737   | cytoplasm
 Smp_162350.1   | GO:0016021   | integral component of membrane
 Smp_162350.1   | GO:0016020   | membrane
 Smp_195060.1   | GO:0003911   | DNA ligase (NAD+) activity
 Smp_195060.1   | GO:0043565   | sequence-specific DNA binding
 Smp_195060.1   | GO:0005622   | intracellular
 Smp_042560.1   | GO:0008308   | voltage-gated anion channel activity
 Smp_042560.1   | GO:0015031   | protein transport
